titre;extrait;rubrique
Controle fiscal au marche noir;Des stands ont ferme en 40 secondes. Il reste des chaussettes et un perroquet.;POLICE
Vague de froid surprise;Le thermometre a chute de 12 degres. Les vendeurs de echarpes crient au miracle.;METEO
Boxeur local gagne par forfait;L'adversaire a vu le contrat d'assurance. Il a prefere l'hopital... par anticipation.;SPORT
Machine a cafe possedee;Elle sert deux espressos puis un rire. Le service technique a refuse d'y retourner.;INSOLITE
Manifestation des pigeonniers;Ils reclament plus de bancs publics. La ville promet une etude de faisabilite.;SOCIETE
Vol d'une cloche d'eglise;Elle a ete revue sur une remorque. Le cure offre une benediction a qui la ramene.;POLICE
Festival du silence annule;Trop de monde. Les organisateurs presenteront leurs excuses... a voix basse.;CULTURE
Inondation d'un parking souterrain;Des voitures flottaient comme des canards. Les assurances parlent deja de "cas complexe".;METEO
Un ado vend de l'air en sachet;Le stock est epuise. Ses parents demandent un audit.;INSOLITE
Dispute pour une place de parking;Deux voisins, un plot, trois heures. Le maire a fini par tirer a pile ou face.;SOCIETE
Record de crepes a la fete du village;412 crepes, 1 coma sucre. Le jury applaudit quand meme.;CULTURE
Cycliste poursuivi par une oie;La scene a ete filmee. L'oie est recherchee pour coups et blessures.;INSOLITE
Cambriolage d'un salon de the;Les voleurs ont pris la caisse et laisse un mot : "le service etait lent".;POLICE
Eclaircie puis grele en cinq minutes;Les terrasses ont change trois fois de strategie. Les limonades aussi.;METEO
Coach sportif accuse de trop crier;Le quartier a signe une petition. Il repond par un "ALLEZ, ENCORE UNE SERIE".;SPORT
Decouverte d'un tunnel sous le casino;Il menait a la cave a vins. La direction parle d'un "projet immobilier oublie".;POLICE
Vente aux encheres d'une chaussette celebre;Elle aurait appartenu a un trader ruine. Adjugee 80 euros.;CULTURE
Nuage en forme de diable;Les habitants y voient un signe. Les meteorologues y voient un cumulus.;METEO
Un homme marie son cactus;La mairie a refuse l'acte. Les invites ont quand meme mange le gateau.;INSOLITE
Penurie de tickets de metro;Les files s'allongent. Un revendeur propose le double du prix, naturellement.;SOCIETE
Chasse au tresor dans les egouts;La carte datait de 1982. Personne n'a trouve l'or, tout le monde a trouve des rats.;INSOLITE
Starlette perdue dans le centre commercial;Elle cherchait la sortie depuis deux heures. Un vigile l'a guidee vers les soldes.;CULTURE
Bagage suspect : c'etait un fromage;L'alerte a vide la gare. Le propriétaire s'est excuse aupres des chiens renifleurs.;POLICE
Levée de soleil a 16h selon un horloger;Sa vitrine etait a l'heure d'un autre continent. Il vendait aussi des dettes.;INSOLITE
Tournoi d'echecs dans le metro;La partie s'est terminee au terminus. Le vainqueur a rate son arret.;SPORT
Fuite de dossiers a la mairie;Des listes d'impayes trainaient sur un banc. Plusieurs noms ont disparu depuis.;SOCIETE
Un taxi refuse les clients trop riches;Il dit que ca porte malheur. Ses pourboires aussi, apparemment.;INSOLITE
Incendie etient par de la limonade;Les pompiers confirment. La marque demande maintenant une pub.;POLICE
Premiere neige en pleine canicule;Un camion frigorifique a explose sa porte. Les enfants ont fait des boules.;METEO
Chorale accusee de trop bien chanter;Les voisins n'arrivent plus a se concentrer sur leurs malheurs. Ils portent plainte.;CULTURE
Un banquier donne des pieces aux pigeons;Il dit que c'est un placement. Les pigeons, eux, veulent du pain.;SOCIETE
Course de caddies interdite au super;Trois adolescents, deux caddies, une glissade. Le directeur a ferme le rayon boissons.;SPORT
Statue de cire fondue sur le trottoir;Un celebre trader local n'a plus de visage. Les passants trouvent ca "plus honnete".;INSOLITE
